,source,author,title,description,url,urlToImage,publishedAt,content
11,"{'id': 'cnn', 'name': 'CNN'}",,news icon trump base will follow him to hell and won t budge,former abc news anchor sam donaldson reacts to a new impeachment poll from quinnipiac university showing public opinion over whether president donald trump should be removed from office ,https://www.cnn.com/videos/politics/2019/10/15/sam-donaldson-trump-impeachment-inquiry-poll-voters-ctn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191015003046-sam-donaldson-super-tease.jpg,2019-10-15T04:44:16Z,chat with us in facebook messenger find out what s happening in the world as it unfolds 
12,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Connie Loizos,don valentine who founded sequoia capital has died at age 87,sequoia capital founder don valentine passed way at his home in woodside ca today at age 87 of natural causes sequoia posted a tribute to valentine shortly afterward calling him one of a generation of leaders who forged silicon valley a native of new ,http://techcrunch.com/2019/10/25/don-valentine-who-founded-sequoia-capital-has-died-at-age-87/,https://techcrunch.com/wp-content/uploads/2019/10/Screen-Shot-2019-10-25-at-8.38.36-PM.png?w=602,2019-10-26T03:40:23Z,sequoia capital founder don valentine passed way at his home in woodside ca today at age 87 of natural causes sequoia posted a tribute to valentine shortly afterward calling him one of a generation of leaders who forged silicon valley a native of ne 
13,"{'id': 'engadget', 'name': 'Engadget'}",Rachel England,pioneers of lithium ion batteries win the 2019 nobel prize in chemistry,this year s nobel prize in chemistry has been awarded to three scientists credited with the invention of the rechargeable lithium ion battery john b goodenough of the university of texas at austin m stanley whittingham of binghamton university and akira yos,https://www.engadget.com/2019/10/09/pioneers-lithium-ion-batteries-win-2019-nobel-prize-chemistry/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D952%252C457%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C768%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-10%252F8ab37470-ea84-11e9-b4fa-19ffe0896d34%26client%3Da1acac3e1b3290917d92%26signature%3D1560fc09847ef04c6df5159220738d9e2a61ea4f&client=amp-blogside-v2&signature=7ded42cf399ce6ff9d4f0bc90459cd723b95494d,2019-10-09T11:35:00Z,rechargeable lithium ion batteries can be found in pretty much everything from mobile phones to electric vehicles and can store significant amounts of energy from solar and wind power given their prominent place in everyday life and the fact that they were 
14,"{'id': 'cnn', 'name': 'CNN'}","Amanda Watts, CNN",texas a m commerce police say there was an incident outside greenville that may or not have involved students ,following reports of a shooting early sunday morning the texas a m university commerce police department tweeted there was an event outside greenville texas that may or not have involved students at this time ,https://www.cnn.com/2019/10/27/us/texas-am-commerce-shooting/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191027045523-party-venue-greenville-map-super-tease.jpg,2019-10-27T09:04:01Z, cnn following reports of a shooting early sunday morning the texas a amp m university commerce police department tweeted there was an event outside greenville texas that may or not have involved students at this time there was no active shooter in com 
15,"{'id': 'cnn', 'name': 'CNN'}",,students burn books after diversity lecture,students at georgia southern university burned the books of cuban american author jennine cap crucet on a grill following a lecture in which she argued with participants about white privilege and diversity ,https://www.cnn.com/videos/us/2019/10/12/book-burning-georgia-southern-university-students-vpx.wjcl,https://cdn.cnn.com/cnnnext/dam/assets/191012163951-book-burning-georgia-southern-university-students-vpx-00000000-super-tease.jpg,2019-10-12T22:42:03Z,chat with us in facebook messenger find out what s happening in the world as it unfolds 
16,"{'id': None, 'name': 'Readwrite.com'}",Dmytro Spilka,is artificial intelligence the ultimate university stimulus ,what does it take to make the university the best learning experience in the lifecycle of ones education higher education is all about developing skills exploring new theories and applying them to the actualities of real life throughout this journey stu,https://readwrite.com/2019/10/10/is-artificial-intelligence-the-ultimate-university-stimulus/,https://images.readwrite.com/wp-content/uploads/2019/08/Is-Artificial-Intelligence-the-Ultimate-University-Stimulate.jpg,2019-10-10T15:00:04Z,what does it take to make the university the best learning experience in the lifecycle of ones education higher education is all about developing skills exploring new theories and applying them to the actualities of real life throughout this journey stu 
17,"{'id': None, 'name': 'Gizmodo.com'}",Tom McKay,okay but can we teach the rats to race ,scientists have previously run experiments teaching rats how to play hide and seek now researchers at the university of richmond in virginia have managed to teach 17 rats how to drive tiny electric cars around in pursuit of food with the rats apparently lov,https://gizmodo.com/okay-but-can-we-teach-the-rats-to-race-1839336618,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/q64xlonv9gs9uktypshj.png",2019-10-24T21:35:00Z,scientists have previously run experiments teaching rats how to play hide and seek now researchers at the university of richmond in virginia have managed to teach 17 rats how to drive tiny electric cars around in pursuit of food with the rats apparently lov 
18,"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,researchers taught autonomous camera drones to film like a hollywood director,skydio was one of the first companies to create a flying drone that can autonomously track follow and frame the action but it was more concerned about not crashing than aesthetics researchers at carnegie mellon university are taking the idea one step furt,https://gizmodo.com/researchers-taught-autonomous-camera-drones-to-film-lik-1839234826,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/altj14dvc7acjft5egp5.gif",2019-10-21T20:32:00Z,skydio was one of the first companies to create a flying drone that can autonomously track follow and frame the action but it was more concerned about not crashing than aesthetics researchers at carnegie mellon university are taking the idea one step furt 
19,"{'id': None, 'name': 'Gizmodo.com'}",George Dvorsky,the experimental future of digging up the past,instead of digging up stone tools and busted pottery archaeologists at kent state university are recreating many of these items themselves to test our assumptions about the ancient past and sometimes that means smashing these replicated relics into tiny li,https://gizmodo.com/the-experimental-future-of-digging-up-the-past-1839470037,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/utelbqinkitmxyibylsm.jpg",2019-10-30T15:45:00Z,instead of digging up stone tools and busted pottery archaeologists at kent state university are recreating many of these items themselves to test our assumptions about the ancient past and sometimes that means smashing these replicated relics into tiny li 
20,"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,researchers created lenses a thousand times thinner to hopefully eliminate ugly smartphone camera bumps,smartphones are currently plagued by a host of ugly design features that compromise aesthetics for functionality including holes and notches in their screens and protrusions on the back to accommodate camera optics but those bumps might soon go away thanks,https://gizmodo.com/researchers-created-lenses-a-thousand-times-thinner-to-1838913029,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/muyhk3y79gc8zpesxdel.jpg",2019-10-09T17:31:00Z,smartphones are currently plagued by a host of ugly design features that compromise aesthetics for functionality including holes and notches in their screens and protrusions on the back to accommodate camera optics but those bumps might soon go away thanks 
21,"{'id': 'business-insider', 'name': 'Business Insider'}",Dominic-Madori Davis,harvard has produced more ultra wealthy people than any other college in the world but only 7 are women here are the top 20 us colleges with the highest proportions of female millionaires among their rich alumni ,in july wealth x released their 2019 report on which universities both globally and in the us have produced the most ultra high net worth uhnw individuals here defined as those with a net worth of 30 million or more harvard university topped the list ,https://www.businessinsider.com/us-colleges-universities-with-most-female-millionaires-alumni,https://image.businessinsider.com/5d9cf7cb122bd51d837d3482?width=1200&format=jpeg,2019-10-15T13:13:00Z,in july wealth x released their findings on which us colleges have produced the most millionaires the study focused on those alumni deemed to be ultra high net worth uhnw individuals meaning those with fortunes of 30 million or more the report analyze 
22,"{'id': None, 'name': 'Canoe.com'}",,snoop dogg unapologetic about university gig drama canoe,snoop dogg unapologetic about university gig drama canoe snoop dogg talks tekashi69 and his own experience in jail the howard stern show snoop dogg defends raunchy kansas basketball performance the audience enjoyed that s t xxlmag com snoop dogg speaks on,https://canoe.com/entertainment/music/snoop-dogg-unapologetic-about-university-gig-drama,https://postmediacanoe.files.wordpress.com/2019/10/snoop-dogg-1-e1570575064167.jpg,2019-10-08T22:55:00Z,snoop dogg is refusing to apologize to university of kansas officials for his rowdy late night gig on campus last week insisting people should know hes no saint onstage the colleges athletic director jeff long has apologized after the rapper upset pare 
23,"{'id': 'business-insider', 'name': 'Business Insider'}",Liz Knueven,the 21 cities in the us where people carry the most student loan debt,the problem of college debt isn t just contained to the cities with the most young professionals the best job markets or the highest incomes from college towns with state schools like corvallis oregon and ann arbor michigan to small southern cities with,https://www.businessinsider.com/us-cities-where-student-debt-is-highest,https://image.businessinsider.com/5d9b56ed9386bc338a6e68ea?width=1200&format=jpeg,2019-10-07T16:58:00Z,according to new data from experian people in college towns tend to have the most student loan debt in the us and it does make sense where the borrowers are so is the debt but many of the biggest colleges and universities in the us aren t on the list 
24,"{'id': 'mashable', 'name': 'Mashable'}",Marcus Gilmer,unsurprisingly tv streaming devices are collecting data too,a new report seems to confirm what you could probably already guess that like every other device you own some tv streaming devices are collecting lots of data about what you do the report comes from princeton university and the university of chicago and ,https://mashable.com/article/smart-tv-devices-data-collection/,https://mondrian.mashable.com/2019%252F10%252F11%252F35%252Fabe26c5e2396495ba4102d66f41ec630.8a5ec.jpg%252F1200x630.jpg?signature=x-U0uRabJCI12b32k-WarPBUrv4=,2019-10-11T17:49:04Z,a new report seems to confirm what you could probably already guess that like every other device you own some tv streaming devices are collecting lots of data about what you do the report comes from princeton university and the university of chicago an 
25,"{'id': 'mashable', 'name': 'Mashable'}",Alex Perry,researchers taught rats how to drive tiny cars and crucially there s video,traditionally rodents don t operate motor vehicles it s mostly a human thing that didn t stop researchers at the university of richmond which made the world a better place with some truly excellent footage of rats driving cars this week news of the newly,https://mashable.com/article/rats-driving-richmond-video/,https://mondrian.mashable.com/2019%252F10%252F26%252F82%252Fa2ea1c3cd1b6434e8b8d26fe2fef506f.dc5d2.jpg%252F1200x630.jpg?signature=kOl6To6Pj8tjTY9om1QXcXAqTxQ=,2019-10-26T18:53:31Z,traditionally rodents don t operate motor vehicles it s mostly a human thing that didn t stop researchers at the university of richmond which made the world a better place with some truly excellent footage of rats driving cars this week news of the newl 
27,"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,viagra might someday enhance bone marrow transplants,the long story of sildenafil citrate best known by the brand name viagra may have another chapter to it researchers at the university of california santa cruz think the drug can improve how we perform bone marrow transplants as part of a combination thera,https://gizmodo.com/viagra-might-someday-enhance-bone-marrow-transplants-1838946830,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/aft3yb5b1knz8dnqiz7n.jpg",2019-10-10T19:10:00Z,the long story of sildenafil citrate best known by the brand name viagra may have another chapter to it researchers at the university of california santa cruz think the drug can improve how we perform bone marrow transplants as part of a combination thera 
28,"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,mysterious cases of paralysis in children may be caused by polio like viruses,in 2014 a rare polio like illness that attacks the nervous system of its often young victims first emerged in the u s an illness with no clear cause according to health agencies like the centers for disease control and prevention now scientists at the un,https://gizmodo.com/mysterious-cases-of-paralysis-in-children-may-be-caused-1839229906,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vembv1bo3zmlr3qo600o.jpg",2019-10-21T19:10:00Z,in 2014 a rare polio like illness that attacks the nervous system of its often young victims first emerged in the u s an illness with no clear cause according to health agencies like the centers for disease control and prevention now scientists at the uni 
29,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Alexander Burns,why populist democrats have gained the upper hand in the primary race,as next weeks debate looms polls and donor contributions suggest a party seeking candidates for 2020 who will push the boundaries while moderates argue they can beat president trump ,https://www.nytimes.com/2019/10/11/us/politics/2020-democrats-primary-polls.html,https://static01.nyt.com/images/2019/10/11/us/politics/11dems2020-01/11dems2020-01-facebookJumbo.jpg,2019-10-11T09:00:22Z,mr biden remains a clear favorite in just one of the early states south carolina and his advisers have predicted that he would fare better in larger more diverse states that vote later in the calendar he is counting in particular on older and more mode 
30,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Benedict Carey,robert provine an authority on laughter is dead at 76,a psychology professor he set about trying to understand what triggers giggles and guffaws and wrote a definitive book on the subject he could also make you laugh ,https://www.nytimes.com/2019/10/28/obituaries/robert-provine-dead.html,https://static01.nyt.com/images/2019/10/25/obituaries/25Provine/25Provine-facebookJumbo.jpg,2019-10-28T22:40:09Z,dr provine extended his study of such nonverbal vocalizations well beyond laughter in 2012 he published curious behavior yawning laughing hiccupping and beyond he argued for instance that yawning not only indicated sleepiness but could also signal so 
31,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,two ghanaian lecturers suspended after bbc africa eye sex for grades film,ransford gyampo and dr paul kwame butakor propositioned undercover journalists posing as students ,https://www.bbc.co.uk/news/world-africa-49993588,https://ichef.bbci.co.uk/news/1024/branded_news/FA75/production/_109171146_ghanaprofs.jpg,2019-10-09T17:37:45Z,image caption professor ransford gyampo and dr paul kwame butakor were filmed by undercover bbc reporters two ghanaian lecturers who were secretly filmed sexually harassing undercover bbc reporters have been suspended pending an investigation university 
32,"{'id': None, 'name': 'Insider.com'}","mdegeurin@businessinsider.com (Mack DeGeurin), Mack DeGeurin",take a look at how loud life is for a university of michigan marching band member,lucas jackson meet elliot phillips a freshman from anderson south carolina who traveled nearly 700 miles from his hometown to play the saxophone as part of the university of michigan s marching band the university of michigan has one of the biggest colleg,https://www.insider.com/inside-the-loud-world-of-a-college-marching-band-member-2019-10,https://image.businessinsider.com/5da4d918695b5875423ec1ce?width=1200&format=jpeg,2019-10-14T20:16:57Z,do you have what it takes to spend hours a day practicing sweating it out on the gridiron sometimes before dawn no we re not talking about football we re talking about marching bands the marching band at the university of michigan college has more t 
33,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",The New York Times,going to college take their advice,we asked readers about their college experience and what they wish they had known sooner both inside and outside the classroom ,https://www.nytimes.com/2019/10/10/education/learning/advice-to-college-students.html,https://static01.nyt.com/images/2019/10/13/multimedia/13sp-callout-seya/13sp-callout-seya-facebookJumbo.jpg,2019-10-10T09:00:41Z,gabriel j betancourt san diego university of california san diego advice givers arent joking when they tell you to network with professors the kids who start early see exponential growth in available opportunity the later you start the less you reap 
34,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Steve Sanders,those college students who used the n word shouldnt have been arrested,they were guilty of vulgarity and ignorance but ridicule is not a crime ,https://www.nytimes.com/2019/10/25/opinion/uconn-students-arrested.html,https://static01.nyt.com/images/2019/10/25/opinion/25Sanders1/25Sanders1-facebookJumbo.jpg,2019-10-25T10:00:07Z,those who cheer the arrests of the university of connecticut students might ask themselves whether they would be equally happy with a prosecutor who decided that it was criminal ridicule for someone to walk down the street uttering the n word while reciting r 
35,"{'id': None, 'name': 'Slashdot.org'}",msmash,nobel prize in medicine goes to 3 scientists for discovering how cells use oxygen,dave knott writes two americans and a british scientist won the nobel prize for physiology or medicine on monday for discovering details of how the body s cells sense and react to low oxygen levels providing a foothold for developing new treatments for anem,https://news.slashdot.org/story/19/10/08/1736213/nobel-prize-in-medicine-goes-to-3-scientists-for-discovering-how-cells-use-oxygen,https://a.fsdn.com/sd/topics/medicine_64.png?refresh=now,2019-10-08T17:35:00Z,the fine print the following comments are owned by whoever posted them we are not responsible for them in any way 
36,"{'id': None, 'name': 'Www.tsn.ca'}",The Canadian Press,kansas apologizes for snoop dogg show tsn,kansas apologizes for snoop dogg show tsn kansas issues apology after snoop dogg s not so family friendly performance cbc ca snoop dogg performs at university of kansas with pole dancers school issues apology xxlmag com ku athletic department apologizes for ,https://www.tsn.ca/kansas-apologizes-for-snoop-dogg-show-at-basketball-kickoff-1.1376830,https://www.tsn.ca/polopoly_fs/1.1376831!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/snoop-dogg.jpg,2019-10-05T15:29:32Z,lawrence kan the university of kansas apologized for its risque late night at the phog event in which rapper snoop dogg performed stripper poles were wheeled onto the allen fieldhouse floor and fake money was shot over the heads of prospective recruits a 
37,"{'id': None, 'name': 'Kugn.com'}",,scientists hope to digitally unravel scrolls charred by vesuvius with light 10 billion times brighter than the sun kugn,scientists from the university of kentucky say they re working to perfect a technique to digitally unravel fragile ancient texts that haven t been read in nearly 2 000 years w brent seales who heads the university of kentucky s digital restoration initiativ,http://www.kugn.com/news/scientists-hope-to-digitally-unravel-scrolls-charred-by-vesuvius-with-light-10-billion-times-brighter-than-the-sun/,,2019-10-05T23:59:28Z,scientists from the university of kentucky say theyre working to perfect a technique to digitally unravel fragile ancient texts that havent been read in nearly 2 000 years w brent seales who heads the university of kentuckys digital restoration initiat 
38,"{'id': 'wired', 'name': 'Wired'}",Matt Simon,scientists are literally spinning up lab grown meat,researchers take inspiration from cotton candy to make a gelatin scaffolding which could help realize the dream of more sustainable steaks and chicken breasts ,https://www.wired.com/story/gelatin-fibers-lab-grown-meat/,"https://media.wired.com/photos/5dae2c0860047600090d3a53/master/w_2560,c_limit/Sci-Meathand-940776484.jpg",2019-10-22T12:00:00Z,the solvent a mixture of ethanol and water keeps the fibers from falling apart as they fling out of the supercharged cotton candy machine the fibers themselves are made of pig derived gelatin which is a product of broken down collagen in a regular steak 
39,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,actress felicity huffman begins 14 day jail term for cheating scam,the star reports to prison in california to begin a 14 day sentence following her fraud conviction ,https://www.bbc.co.uk/news/world-us-canada-50061120,https://ichef.bbci.co.uk/news/1024/branded_news/4DA2/production/_109247891_gettyimages-1168692094.jpg,2019-10-15T18:15:11Z,image copyrightgetty imagesimage caption huffman leaves her sentencing hearing in september file us actress felicity huffman has reported to prison to begin a 14 day sentence for her role in a nationwide university cheating scandal the desperate housew 
40,"{'id': None, 'name': 'Gizmodo.com'}",George Dvorsky,california power outage wreaks havoc at research labs,science laboratories in northern california are scrambling to protect precious supplies samples and lab animals threatened by an extensive power outage read more ,https://gizmodo.com/california-power-outage-wreaks-havoc-at-research-labs-1838969790,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/o2zgkveu2r05jm35cviy.jpg",2019-10-11T15:10:00Z,science laboratories in northern california are scrambling to protect precious supplies samples and lab animals threatened by an extensive power outage the northern california power outage started on wednesday when the states biggest power provider pacif 
41,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Darrell Etherington,virgin orbit plans to launch first commercial small satellites to mars,richard bransons backed small satellite launch operation virgin orbit wants to be the first to dedicate a mission to bringing commercial cube sats to the red planet the company announced today working with polish satellite company satrevolution virgin orbi,http://techcrunch.com/2019/10/09/virgin-orbit-plans-to-launch-first-commercial-small-satellites-to-mars/,https://techcrunch.com/wp-content/uploads/2019/10/Virgin-Orbit-87.jpg?w=717,2019-10-09T19:20:42Z,richard bransons backed small satellite launch operation virgin orbit wants to be the first to dedicate a mission to bringing commercial cube sats to the red planet the company announced today working with polish satellite company satrevolution virgin orbi 
42,"{'id': None, 'name': 'Yahoo.com'}",Kelly McLaughlin,a group of women who call themselves the fantastic grandmothers discovered a group of rare venomous snakes while snorkeling together,the seven women helped discover the snakes while working with scientists from the university of new caledonia and macquarie university in australia ,https://news.yahoo.com/group-women-call-themselves-fantastic-161012440.html,https://s.yimg.com/ny/api/res/1.2/sG1g3GXYbOF6O3MX60bA2A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD02NDA-/https://s.yimg.com/uu/api/res/1.2/mO08Da1U9vE2BdbKTO9d1g--~B/aD03MjA7dz0xNDQwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en-US/insider_articles_922/f01e99055b210a7204b13866b69c5fbe,2019-10-25T16:10:12Z,genevive brianon aline gumas monique zannier monique mazire sylvie hbert cathy le bouteiller and marilyn sarocchi claire goiran unc ul li seven women who are all in their 60s and 70s and known as the fantastic grandmothers helped scientists 
43,"{'id': 'time', 'name': 'Time'}",Associated Press,university of texas closes pi kappa phi fraternity over hazing claims,the university of texas chapter of pi kappa phi fraternity has been shut down following a university investigation into hazing allegations ,https://time.com/5716483/university-texas-pi-kappa-phi-shut-down/,https://timedotcom.files.wordpress.com/2019/11/university-of-texas.jpg?quality=85&w=1024&h=628&crop=1,2019-11-01T18:02:27Z, austin texas the university of texas chapter of the pi kappa phi fraternity has been shut down following a university investigation into hazing allegations the investigation found that during the 2018 19 school year fraternity pledges were shot with ai 
