source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,We're Not Ready for the Next Pandemic,"If the seeds of a pandemic illness were planted tomorrow, how would the world fare? Well, according to a simulation carried out on Friday by Johns Hopkins University, the answer is: terribly. Read more...",https://gizmodo.com/were-not-ready-for-the-next-pandemic-1839169413,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dp8s4sxefbjlp0hpbvfg.jpg",2019-10-18T19:00:00Z,"If the seeds of a pandemic illness were planted tomorrow, how would the world fare? Well, according to a simulation carried out on Friday by Johns Hopkins University, the answer is: terribly.
At a hotel near New York Citys Central Park, the Johns Hopkins Cen… [+4149 chars]"
"{'id': 'cnn', 'name': 'CNN'}",,News icon: Trump base will follow him to hell and won't budge,Former ABC News anchor Sam Donaldson reacts to a new impeachment poll from Quinnipiac University showing public opinion over whether President Donald Trump should be removed from office.,https://www.cnn.com/videos/politics/2019/10/15/sam-donaldson-trump-impeachment-inquiry-poll-voters-ctn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191015003046-sam-donaldson-super-tease.jpg,2019-10-15T04:44:16Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Connie Loizos,"Don Valentine, who founded Sequoia Capital, has died at age 87","Sequoia Capital founder Don Valentine passed way at his home in Woodside, Ca., today at age 87 of natural causes. Sequoia posted a tribute to Valentine shortly afterward, calling him “one of a generation of leaders who forged Silicon Valley.” A native of New …",http://techcrunch.com/2019/10/25/don-valentine-who-founded-sequoia-capital-has-died-at-age-87/,https://techcrunch.com/wp-content/uploads/2019/10/Screen-Shot-2019-10-25-at-8.38.36-PM.png?w=602,2019-10-26T03:40:23Z,"Sequoia Capital founder Don Valentine passed way at his home in Woodside, Ca., today at age 87 of natural causes.
Sequoia posted a tribute to Valentine shortly afterward, calling him “one of a generation of leaders who forged Silicon Valley.”
A native of Ne… [+2593 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Rachel England,Pioneers of lithium-ion batteries win the 2019 Nobel Prize in Chemistry,"This year's Nobel Prize in Chemistry has been awarded to three scientists credited with the invention of the rechargeable lithium-ion battery. John B Goodenough of the University of Texas at Austin, M Stanley Whittingham of Binghamton University and Akira Yos…",https://www.engadget.com/2019/10/09/pioneers-lithium-ion-batteries-win-2019-nobel-prize-chemistry/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D952%252C457%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C768%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-10%252F8ab37470-ea84-11e9-b4fa-19ffe0896d34%26client%3Da1acac3e1b3290917d92%26signature%3D1560fc09847ef04c6df5159220738d9e2a61ea4f&client=amp-blogside-v2&signature=7ded42cf399ce6ff9d4f0bc90459cd723b95494d,2019-10-09T11:35:00Z,"Rechargeable lithium-ion batteries can be found in pretty much everything from mobile phones to electric vehicles, and can store significant amounts of energy from solar and wind power. Given their prominent place in everyday life, and the fact that they were… [+1330 chars]"
"{'id': 'cnn', 'name': 'CNN'}","Amanda Watts, CNN",Texas A&M Commerce police say there was an incident outside Greenville that 'may or not have involved students',"Following reports of a shooting early Sunday morning, the Texas A&M University-Commerce Police Department tweeted there was an event outside Greenville, Texas, that ""may or not have involved students at this time.""",https://www.cnn.com/2019/10/27/us/texas-am-commerce-shooting/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191027045523-party-venue-greenville-map-super-tease.jpg,2019-10-27T09:04:01Z,"(CNN)Following reports of a shooting early Sunday morning, the Texas A&amp;M University-Commerce Police Department tweeted there was an event outside Greenville, Texas, that ""may or not have involved students at this time.""
There was no active shooter in Com… [+839 chars]"
"{'id': 'cnn', 'name': 'CNN'}",,Students burn books after diversity lecture,Students at Georgia Southern University burned the books of Cuban-American author Jennine Capó Crucet on a grill following a lecture in which she argued with participants about white privilege and diversity.,https://www.cnn.com/videos/us/2019/10/12/book-burning-georgia-southern-university-students-vpx.wjcl,https://cdn.cnn.com/cnnnext/dam/assets/191012163951-book-burning-georgia-southern-university-students-vpx-00000000-super-tease.jpg,2019-10-12T22:42:03Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
"{'id': None, 'name': 'Readwrite.com'}",Dmytro Spilka,Is Artificial Intelligence the Ultimate University Stimulus?,"What does it take to make the university the best learning experience in the lifecycle of one’s education? Higher education is all about developing skills, exploring new theories, and applying them to the actualities of real life. Throughout this journey, stu…",https://readwrite.com/2019/10/10/is-artificial-intelligence-the-ultimate-university-stimulus/,https://images.readwrite.com/wp-content/uploads/2019/08/Is-Artificial-Intelligence-the-Ultimate-University-Stimulate.jpg,2019-10-10T15:00:04Z,"What does it take to make the university the best learning experience in the lifecycle of one’s education? Higher education is all about developing skills, exploring new theories, and applying them to the actualities of real life. Throughout this journey, stu… [+8369 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Tom McKay,"Okay, But Can We Teach the Rats to Race?","Scientists have previously run experiments teaching rats how to play hide-and-seek. Now researchers at the University of Richmond in Virginia have managed to teach 17 rats how to drive tiny electric cars around in pursuit of food, with the rats apparently lov…",https://gizmodo.com/okay-but-can-we-teach-the-rats-to-race-1839336618,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/q64xlonv9gs9uktypshj.png",2019-10-24T21:35:00Z,"Scientists have previously run experiments teaching rats how to play hide-and-seek. Now researchers at the University of Richmond in Virginia have managed to teach 17 rats how to drive tiny electric cars around in pursuit of food, with the rats apparently lov… [+3249 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,Researchers Taught Autonomous Camera Drones to Film Like a Hollywood Director,"Skydio was one of the first companies to create a flying drone that can autonomously track, follow, and frame the action, but it was more concerned about not crashing than aesthetics. Researchers at Carnegie Mellon University are taking the idea one step furt…",https://gizmodo.com/researchers-taught-autonomous-camera-drones-to-film-lik-1839234826,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/altj14dvc7acjft5egp5.gif",2019-10-21T20:32:00Z,"Skydio was one of the first companies to create a flying drone that can autonomously track, follow, and frame the action, but it was more concerned about not crashing than aesthetics. Researchers at Carnegie Mellon University are taking the idea one step furt… [+2168 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",George Dvorsky,The Experimental Future of Digging Up the Past,"Instead of digging up stone tools and busted pottery, archaeologists at Kent State University are recreating many of these items themselves to test our assumptions about the ancient past. And sometimes, that means smashing these replicated relics into tiny li…",https://gizmodo.com/the-experimental-future-of-digging-up-the-past-1839470037,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/utelbqinkitmxyibylsm.jpg",2019-10-30T15:45:00Z,"Instead of digging up stone tools and busted pottery, archaeologists at Kent State University are recreating many of these items themselves to test our assumptions about the ancient past. And sometimes, that means smashing these replicated relics into tiny li… [+1159 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,Researchers Created Lenses a Thousand Times Thinner to Hopefully Eliminate Ugly Smartphone Camera Bumps,"Smartphones are currently plagued by a host of ugly design features that compromise aesthetics for functionality, including holes and notches in their screens, and protrusions on the back to accommodate camera optics. But those bumps might soon go away thanks…",https://gizmodo.com/researchers-created-lenses-a-thousand-times-thinner-to-1838913029,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/muyhk3y79gc8zpesxdel.jpg",2019-10-09T17:31:00Z,"Smartphones are currently plagued by a host of ugly design features that compromise aesthetics for functionality, including holes and notches in their screens, and protrusions on the back to accommodate camera optics. But those bumps might soon go away thanks… [+2795 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Dominic-Madori Davis,Harvard has produced more ultra-wealthy people than any other college in the world — but only 7% are women. Here are the top 20 US colleges with the highest proportions of female millionaires among their rich alumni.,"In July, Wealth-X released their 2019 report on which universities (both globally and in the US) have produced the most ultra-high net worth (UHNW) individuals, here defined as those with a net worth of $30 million or more. Harvard University topped the list,…",https://www.businessinsider.com/us-colleges-universities-with-most-female-millionaires-alumni,https://image.businessinsider.com/5d9cf7cb122bd51d837d3482?width=1200&format=jpeg,2019-10-15T13:13:00Z,"In July, Wealth-X released their findings on which US colleges have produced the most millionaires.
The study focused on those alumni deemed to be ultra-high net worth (UHNW) individuals, meaning those with fortunes of $30 million or more. The report analyze… [+1327 chars]"
"{'id': None, 'name': 'Canoe.com'}",,Snoop Dogg unapologetic about university gig drama - CANOE,"Snoop Dogg unapologetic about university gig drama CANOE Snoop Dogg Talks Tekashi69 and His Own Experience in Jail The Howard Stern Show Snoop Dogg Defends Raunchy Kansas Basketball Performance: ""The Audience Enjoyed That S*!t"" XXLMAG.COM Snoop Dogg speaks on…",https://canoe.com/entertainment/music/snoop-dogg-unapologetic-about-university-gig-drama,https://postmediacanoe.files.wordpress.com/2019/10/snoop-dogg-1-e1570575064167.jpg,2019-10-08T22:55:00Z,"Snoop Dogg is refusing to apologize to University of Kansas officials for his rowdy late-night gig on campus last week, insisting people should know he’s no saint onstage.
The college’s athletic director, Jeff Long, has apologized after the rapper upset pare… [+1388 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Liz Knueven,The 21 cities in the US where people carry the most student loan debt,"The problem of college debt isn't just contained to the cities with the most young professionals, the best job markets, or the highest incomes. From college towns with state schools like Corvallis, Oregon and Ann Arbor, Michigan, to small southern cities with…",https://www.businessinsider.com/us-cities-where-student-debt-is-highest,https://image.businessinsider.com/5d9b56ed9386bc338a6e68ea?width=1200&format=jpeg,2019-10-07T16:58:00Z,"According to new data from Experian, people in college towns tend to have the most student loan debt in the US.
And it does make sense: Where the borrowers are, so is the debt. But, many of the biggest colleges and universities in the US aren't on the list. … [+763 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Marcus Gilmer,"Unsurprisingly, TV streaming devices are collecting data, too","A new report seems to confirm what you could probably already guess: that, like every other device you own, some TV streaming devices are collecting lots of data about what you do. The report comes from Princeton University and the University of Chicago, and …",https://mashable.com/article/smart-tv-devices-data-collection/,https://mondrian.mashable.com/2019%252F10%252F11%252F35%252Fabe26c5e2396495ba4102d66f41ec630.8a5ec.jpg%252F1200x630.jpg?signature=x-U0uRabJCI12b32k-WarPBUrv4=,2019-10-11T17:49:04Z,"A new report seems to confirm what you could probably already guess: that, like every other device you own, some TV streaming devices are collecting lots of data about what you do. 
The report comes from Princeton University and the University of Chicago, an… [+1997 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Alex Perry,"Researchers taught rats how to drive tiny cars and, crucially, there's video","Traditionally, rodents don't operate motor vehicles. It's mostly a human thing. That didn't stop researchers at the University of Richmond, which made the world a better place with some truly excellent footage of rats driving cars this week. News of the newly…",https://mashable.com/article/rats-driving-richmond-video/,https://mondrian.mashable.com/2019%252F10%252F26%252F82%252Fa2ea1c3cd1b6434e8b8d26fe2fef506f.dc5d2.jpg%252F1200x630.jpg?signature=kOl6To6Pj8tjTY9om1QXcXAqTxQ=,2019-10-26T18:53:31Z,"Traditionally, rodents don't operate motor vehicles. It's mostly a human thing. That didn't stop researchers at the University of Richmond, which made the world a better place with some truly excellent footage of rats driving cars this week.
News of the newl… [+2107 chars]"
"{'id': 'cnn', 'name': 'CNN'}","Jennifer Agiesta, CNN Polling Director",CNN Poll: Sanders and Warren fight for home field in New Hampshire,"Vermont Sen. Bernie Sanders (21%) and Massachusetts Sen. Elizabeth Warren (18%) are in a close race among likely voters in New Hampshire's first-in-the-nation Democratic presidential primary, according to a new CNN poll conducted by the University of New Hamp…",https://www.cnn.com/2019/10/29/politics/new-hampshire-poll-2020-cnn/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190730214940-sander-warren-opinion-super-tease.jpg,2019-10-29T16:00:48Z,
"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,Viagra Might Someday Enhance Bone Marrow Transplants,"The long story of sildenafil citrate, best known by the brand name Viagra, may have another chapter to it. Researchers at the University of California Santa Cruz think the drug can improve how we perform bone marrow transplants, as part of a combination thera…",https://gizmodo.com/viagra-might-someday-enhance-bone-marrow-transplants-1838946830,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/aft3yb5b1knz8dnqiz7n.jpg",2019-10-10T19:10:00Z,"The long story of sildenafil citrate, best known by the brand name Viagra, may have another chapter to it. Researchers at the University of California Santa Cruz think the drug can improve how we perform bone marrow transplants, as part of a combination thera… [+4280 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,Mysterious Cases of Paralysis in Children May Be Caused by Polio-Like Viruses,"In 2014, a rare polio-like illness that attacks the nervous system of its often young victims first emerged in the U.S.—an illness with no clear cause, according to health agencies like the Centers for Disease Control and Prevention. Now, scientists at the Un…",https://gizmodo.com/mysterious-cases-of-paralysis-in-children-may-be-caused-1839229906,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vembv1bo3zmlr3qo600o.jpg",2019-10-21T19:10:00Z,"In 2014, a rare polio-like illness that attacks the nervous system of its often young victims first emerged in the U.S.an illness with no clear cause, according to health agencies like the Centers for Disease Control and Prevention. Now, scientists at the Uni… [+4319 chars]"
"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Alexander Burns,Why Populist Democrats Have Gained the Upper Hand in the Primary Race,"As next week’s debate looms, polls and donor contributions suggest a party seeking candidates for 2020 who will push the boundaries, while moderates argue they can beat President Trump.",https://www.nytimes.com/2019/10/11/us/politics/2020-democrats-primary-polls.html,https://static01.nyt.com/images/2019/10/11/us/politics/11dems2020-01/11dems2020-01-facebookJumbo.jpg,2019-10-11T09:00:22Z,"Mr. Biden remains a clear favorite in just one of the early states, South Carolina, and his advisers have predicted that he would fare better in larger, more diverse states that vote later in the calendar. He is counting, in particular, on older and more mode… [+1517 chars]"
"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Benedict Carey,"Robert Provine, an Authority on Laughter, Is Dead at 76","A psychology professor, he set about trying to understand what triggers giggles and guffaws and wrote a definitive book on the subject. He could also make you laugh.",https://www.nytimes.com/2019/10/28/obituaries/robert-provine-dead.html,https://static01.nyt.com/images/2019/10/25/obituaries/25Provine/25Provine-facebookJumbo.jpg,2019-10-28T22:40:09Z,"Dr. Provine extended his study of such nonverbal vocalizations well beyond laughter. In 2012 he published Curious Behavior: Yawning, Laughing, Hiccupping, and Beyond. He argued, for instance, that yawning not only indicated sleepiness but could also signal so… [+1943 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Two Ghanaian lecturers suspended after BBC Africa Eye 'Sex For Grades' film,Ransford Gyampo and Dr Paul Kwame Butakor propositioned undercover journalists posing as students.,https://www.bbc.co.uk/news/world-africa-49993588,https://ichef.bbci.co.uk/news/1024/branded_news/FA75/production/_109171146_ghanaprofs.jpg,2019-10-09T17:37:45Z,"Image caption
 Professor Ransford Gyampo and Dr Paul Kwame Butakor were filmed by undercover BBC reporters
Two Ghanaian lecturers who were secretly filmed sexually harassing undercover BBC reporters have been suspended pending an investigation.
University … [+2058 chars]"
"{'id': None, 'name': 'Insider.com'}","mdegeurin@businessinsider.com (Mack DeGeurin), Mack DeGeurin",Take a look at how loud life is for a University of Michigan marching band member,"Lucas Jackson Meet Elliot Phillips, a freshman from Anderson, South Carolina, who traveled nearly 700 miles from his hometown to play the saxophone as part of the University of Michigan's marching band. The University of Michigan has one of the biggest colleg…",https://www.insider.com/inside-the-loud-world-of-a-college-marching-band-member-2019-10,https://image.businessinsider.com/5da4d918695b5875423ec1ce?width=1200&format=jpeg,2019-10-14T20:16:57Z,"Do you have what it takes to spend hours a day practicing — sweating it out on the gridiron, sometimes before dawn? No, we're not talking about football — we're talking about marching bands. 
The marching band at the University of Michigan College has more t… [+667 chars]"
"{'id': 'the-new-york-times', 'name': 'The New York Times'}",The New York Times,Going to College? Take Their Advice,"We asked readers about their college experience, and what they wish they had known sooner both inside and outside the classroom.",https://www.nytimes.com/2019/10/10/education/learning/advice-to-college-students.html,https://static01.nyt.com/images/2019/10/13/multimedia/13sp-callout-seya/13sp-callout-seya-facebookJumbo.jpg,2019-10-10T09:00:41Z,"Gabriel J. Betancourt, San Diego, University of California, San Diego
Advice-givers arent joking when they tell you to network with professors. The kids who start early see exponential growth in available opportunity. The later you start, the less you reap. … [+1220 chars]"
"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Steve Sanders,Those College Students Who Used the N-Word Shouldn’t Have Been Arrested,"They were guilty of vulgarity and ignorance, but “ridicule” is not a crime.",https://www.nytimes.com/2019/10/25/opinion/uconn-students-arrested.html,https://static01.nyt.com/images/2019/10/25/opinion/25Sanders1/25Sanders1-facebookJumbo.jpg,2019-10-25T10:00:07Z,Those who cheer the arrests of the University of Connecticut students might ask themselves whether they would be equally happy with a prosecutor who decided that it was criminal ridicule for someone to walk down the street uttering the N-word while reciting r… [+2869 chars]
"{'id': None, 'name': 'Slashdot.org'}",msmash,Nobel Prize in Medicine Goes To 3 Scientists For Discovering How Cells Use Oxygen,"Dave Knott writes: Two Americans and a British scientist won the Nobel Prize for Physiology or Medicine on Monday for discovering details of how the body's cells sense and react to low oxygen levels, providing a foothold for developing new treatments for anem…",https://news.slashdot.org/story/19/10/08/1736213/nobel-prize-in-medicine-goes-to-3-scientists-for-discovering-how-cells-use-oxygen,https://a.fsdn.com/sd/topics/medicine_64.png?refresh=now,2019-10-08T17:35:00Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
"{'id': None, 'name': 'Www.tsn.ca'}",The Canadian Press,Kansas apologizes for Snoop Dogg show - TSN,"Kansas apologizes for Snoop Dogg show TSN Kansas issues apology after Snoop Dogg's not-so-family-friendly performance CBC.ca Snoop Dogg Performs at University of Kansas With Pole Dancers, School Issues Apology XXLMAG.COM KU Athletic Department apologizes for …",https://www.tsn.ca/kansas-apologizes-for-snoop-dogg-show-at-basketball-kickoff-1.1376830,https://www.tsn.ca/polopoly_fs/1.1376831!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/snoop-dogg.jpg,2019-10-05T15:29:32Z,"LAWRENCE, Kan. The University of Kansas apologized for its risque Late Night at the Phog event in which rapper Snoop Dogg performed, stripper poles were wheeled onto the Allen Fieldhouse floor and fake money was shot over the heads of prospective recruits.
A… [+3893 chars]"
"{'id': None, 'name': 'Kugn.com'}",,Scientists hope to digitally unravel scrolls charred by Vesuvius with light 10 billion times brighter than the sun - KUGN,"Scientists from the University of Kentucky say they're working to perfect a technique to digitally unravel fragile ancient texts that haven't been read in nearly 2,000 years.W. Brent Seales, who heads the University of Kentucky's Digital Restoration Initiativ…",http://www.kugn.com/news/scientists-hope-to-digitally-unravel-scrolls-charred-by-vesuvius-with-light-10-billion-times-brighter-than-the-sun/,,2019-10-05T23:59:28Z,"Scientists from the University of Kentucky say they’re working to perfect a technique to digitally unravel fragile ancient texts that haven’t been read in nearly 2,000 years.
W. Brent Seales, who heads the University of Kentucky’s Digital Restoration Initiat… [+2632 chars]"
